code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
TMC,2023-08-09,15:08:04,HNX,STOCK,9.2,10.1,8.3,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMX,2023-08-09,15:08:04,HNX,STOCK,12.0,13.2,10.8,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMF,2023-08-09,15:08:01,UPCOM,STOCK,47.3,54.3,40.3,46.2,49.0,45.9,49.0,48.08,46.2,49.0,45.9,49.0,48.08,10300.0,495220000.0,0.0,0.0,1.7,1.7,3.5941
VTJ,2023-08-09,15:08:04,HNX,STOCK,3.8,4.1,3.5,3.8,3.8,3.7,3.7,3.797,3.8,3.8,3.7,3.7,3.797,7000.0,26580000.0,0.0,0.0,-0.1,-0.1,-2.6316
AMD,2023-08-09,15:08:01,UPCOM,STOCK,1.1,1.5,0.7,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCB,2023-08-09,15:08:01,UPCOM,STOCK,13.8,15.8,11.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FHS,2023-08-09,15:08:01,UPCOM,STOCK,26.7,30.7,22.7,26.8,26.8,26.8,26.8,26.8,26.2,26.2,26.2,26.2,26.2,100.0,2680000.0,0.0,0.0,0.1,0.0978,0.3745
DVC,2023-08-09,15:08:01,UPCOM,STOCK,12.6,14.4,10.8,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HFC,2023-08-09,15:08:01,UPCOM,STOCK,13.0,14.9,11.1,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMG,2023-08-09,15:08:01,UPCOM,STOCK,9.5,13.3,5.7,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBC,2023-08-09,15:08:01,UPCOM,STOCK,18.4,21.1,15.7,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NXT,2023-08-09,15:08:01,UPCOM,STOCK,12.9,14.8,11.0,12.9,13.1,12.8,13.0,12.991,12.9,13.1,12.8,13.0,12.991,39000.0,506660000.0,0.0,0.0,0.1,0.1,0.7752
PTH,2023-08-09,15:08:01,UPCOM,STOCK,14.5,16.6,12.4,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEQ,2023-08-09,15:08:01,UPCOM,STOCK,46.0,52.9,39.1,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNG,2023-08-09,15:08:01,UPCOM,STOCK,17.9,25.0,10.8,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIV,2023-08-09,15:08:01,UPCOM,STOCK,1.4,1.6,1.2,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLP,2023-08-09,15:08:01,UPCOM,STOCK,7.6,8.7,6.5,7.6,7.6,7.3,7.4,7.407,7.6,7.6,7.3,7.4,7.407,15000.0,111100000.0,0.0,0.0,-0.2,-0.2,-2.6316
STH,2023-08-09,15:08:01,UPCOM,STOCK,5.0,5.7,4.3,5.0,5.2,5.0,5.2,5.087,5.0,5.2,5.0,5.2,5.087,107200.0,545370000.0,0.0,0.0,0.2,0.2,4.0
SAS,2023-08-09,15:08:01,UPCOM,STOCK,25.0,28.7,21.3,24.8,25.0,24.5,25.0,24.757,24.8,25.0,24.5,25.0,24.757,9400.0,232720000.0,0.0,0.0,0.0,0.0,0.0
SAC,2023-08-09,15:08:01,UPCOM,STOCK,8.8,10.1,7.5,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,800.0,7040000.0,0.0,0.0,0.0,0.0,0.0
SAL,2023-08-09,15:08:01,UPCOM,STOCK,8.8,10.1,7.5,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTT,2023-08-09,15:08:01,UPCOM,STOCK,9.6,11.0,8.2,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,470.0,4505000.0,0.0,0.0,0.0,0.0,0.0
RAT,2023-08-09,15:08:01,UPCOM,STOCK,17.5,20.1,14.9,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCC,2023-08-09,15:08:01,UPCOM,STOCK,19.5,22.4,16.6,16.7,17.0,16.7,17.0,16.855,16.7,17.0,16.7,17.0,16.855,2201.0,37096600.0,0.0,0.0,-2.5,-2.5,-12.8205
QSP,2023-08-09,15:08:01,UPCOM,STOCK,21.2,24.3,18.1,21.2,21.3,21.2,21.3,21.286,21.2,21.3,21.2,21.3,21.286,700.0,14900000.0,0.0,0.0,0.1,0.1,0.4717
SGP,2023-08-09,15:08:01,UPCOM,STOCK,17.5,20.1,14.9,17.5,17.8,17.4,17.8,17.574,17.5,17.8,17.4,17.8,17.574,105978.0,1862446500.0,0.0,0.0,0.3,0.3,1.7143
SGS,2023-08-09,15:08:01,UPCOM,STOCK,16.5,18.9,14.1,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,2700.0,44550000.0,0.0,0.0,0.0,0.0,0.0
SHC,2023-08-09,15:08:01,UPCOM,STOCK,9.6,11.0,8.2,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,806.0,7738200.0,0.0,0.0,0.0,0.0,0.0
SHX,2023-08-09,15:08:01,UPCOM,STOCK,1.8,2.5,1.1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSG,2023-08-09,15:08:01,UPCOM,STOCK,8.2,9.4,7.0,8.0,8.1,8.0,8.1,8.004,8.0,8.1,8.0,8.1,8.004,2700.0,21610000.0,0.0,0.0,-0.1,-0.1,-1.2195
STS,2023-08-09,15:08:01,UPCOM,STOCK,37.0,51.8,22.2,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STT,2023-08-09,15:08:01,UPCOM,STOCK,2.0,2.3,1.7,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCW,2023-08-09,15:08:01,UPCOM,STOCK,25.7,29.5,21.9,25.6,25.7,25.6,25.7,25.699,25.6,25.7,25.6,25.7,25.699,7113.0,182794500.0,0.0,0.0,0.0,0.0,0.0
SWC,2023-08-09,15:08:01,UPCOM,STOCK,25.2,28.9,21.5,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,300.0,7560000.0,0.0,0.0,0.0,0.0,0.0
SRT,2023-08-09,15:08:01,UPCOM,STOCK,5.3,6.0,4.6,5.2,5.4,5.1,5.3,5.234,5.2,5.4,5.1,5.3,5.234,4456.0,23335000.0,0.0,0.0,0.0,0.0,0.0
TOS,2023-08-09,15:08:01,UPCOM,STOCK,31.0,35.6,26.4,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,100.0,3300000.0,0.0,0.0,2.0,2.0,6.4516
TNP,2023-08-09,15:08:01,UPCOM,STOCK,20.0,23.0,17.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR1,2023-08-09,15:08:01,UPCOM,STOCK,12.2,14.0,10.4,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRS,2023-08-09,15:08:01,UPCOM,STOCK,31.3,35.9,26.7,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPS,2023-08-09,15:08:01,UPCOM,STOCK,16.5,23.1,9.9,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHP,2023-08-09,15:08:01,UPCOM,STOCK,24.0,27.6,20.4,24.0,24.0,23.9,23.9,23.965,24.0,24.0,23.9,23.9,23.965,11410.0,273440000.0,0.0,0.0,-0.1,-0.1,-0.4167
PNP,2023-08-09,15:08:01,UPCOM,STOCK,20.0,23.0,17.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.0,20000.0,0.0,0.0,0.0,0.0,0.0
PAP,2023-08-09,15:08:01,UPCOM,STOCK,13.8,15.8,11.8,12.5,13.9,12.5,13.9,12.823,12.5,13.9,12.5,13.9,12.823,1300.0,16670000.0,0.0,0.0,0.1,0.1,0.7246
